# app-ads.txt for Netflowautostack
# Last Updated: April 27, 2026
#
# This file is used by advertisers to verify the authenticity of your app inventory.
# Include all advertising partners that serve ads in your applications.
#
# Format: <field operator> <value>
#
# Example:
# google.com, pub-XXXXXXXXXXXXXXXX, DIRECT, google.com, XXXXXXXXXXXXXXXX
#
# Please replace the placeholder publisher IDs with your actual IDs from each ad network.

# Google AdMob
google.com, pub-XXXXXXXXXXXXXXXX, DIRECT, google.com, XXXXXXXXXXXXXXXX

# Meta Audience Network
facebook.com, pub-XXXXXXXXXXXXXXXX, DIRECT, facebook.com, XXXXXXXXXXXXXXXX

# AppLovin MAX
applovin.com, pub-XXXXXXXXXXXXXXXX, DIRECT, applovin.com, XXXXXXXXXXXXXXXX

# Unity Ads
unity3d.com, pub-XXXXXXXXXXXXXXXX, DIRECT, unity3d.com, XXXXXXXXXXXXXXXX

# IronSource
ironsrc.com, pub-XXXXXXXXXXXXXXXX, DIRECT, ironsrc.com, XXXXXXXXXXXXXXXX

# Liftoff (Vungle)
vungle.com, pub-XXXXXXXXXXXXXXXX, DIRECT, vungle.com, XXXXXXXXXXXXXXXX

# AdColony
adcolony.com, pub-XXXXXXXXXXXXXXXX, DIRECT, adcolony.com, XXXXXXXXXXXXXXXX

# Chartboost
chartboost.com, pub-XXXXXXXXXXXXXXXX, DIRECT, chartboost.com, XXXXXXXXXXXXXXXX

# Pangle
bytedance.com, pub-XXXXXXXXXXXXXXXX, DIRECT, bytedance.com, XXXXXXXXXXXXXXXX

# Smaato
smaato.com, pub-XXXXXXXXXXXXXXXX, DIRECT, smaato.com, XXXXXXXXXXXXXXXX

# InMobi
inmobi.com, pub-XXXXXXXXXXXXXXXX, DIRECT, inmobi.com, XXXXXXXXXXXXXXXX

# Mintegral
mintegral.com, pub-XXXXXXXXXXXXXXXX, DIRECT, mintegral.com, XXXXXXXXXXXXXXXX

# Ogury
ogury.com, pub-XXXXXXXXXXXXXXXX, DIRECT, ogury.com, XXXXXXXXXXXXXXXX

# StartApp
startappservice.com, pub-XXXXXXXXXXXXXXXX, DIRECT, startappservice.com, XXXXXXXXXXXXXXXX
